ph,es_dia
17.529,0
17.529,0
17.529,0
17.67,0
17.67,0
17.67,0
17.81,0
17.81,0
17.949,0
17.949,0
17.949,0
18.08,0
18.08,0
18.08,0
18.19,0
18.19,0
18.19,0
18.33,0
18.33,0
18.33,0
18.47,0
18.47,0
18.47,0
18.6,0
18.6,0
18.6,0
18.77,0
18.77,0
18.77,0
18.9,0
18.9,0
18.9,0
19.09,1
19.09,1
19.279,1
19.279,1
19.279,1
19.47,1
19.47,1
19.47,1
19.68,1
19.68,1
19.68,1
19.89,1
19.89,1
19.89,1
20.109,1
20.109,1
20.109,1
20.32,1
20.32,1
20.32,1
20.5,1
20.5,1
20.5,1
20.689,1
20.689,1
20.689,1
